,count,mean,std,min,25%,50%,75%,max
feat_1,76020.0,0.6708760852407262,141.44859764285607,0.0,0.0,0.0,0.0,36000.0
feat_2,76020.0,3.9463299131807416e-05,0.006281899464612405,0.0,0.0,0.0,0.0,1.0
feat_3,76020.0,0.14483030781373324,4.288144677326988,0.0,0.0,0.0,0.0,582.0
feat_4,76020.0,0.00010523546435148645,0.01025796149504999,0.0,0.0,0.0,0.0,1.0
feat_5,76020.0,9.594755348137728,16.91842783252406,-2.9647102032435337,-0.27021126120456485,0.34004904163963506,29.20285959691258,91.88006892311596
feat_6,76020.0,0.3147012628255722,53.40808459934802,0.0,0.0,0.0,0.0,13207.32
feat_7,76020.0,149.38290395629298,181.6023737900672,-28.14592075211594,1.7279617954053088,88.59018358356637,264.99766317251897,740.9434599481873
feat_8,76020.0,0.06752170481452249,0.2509249936548109,0.0,0.0,0.0,0.0,1.0
feat_9,76020.0,1.2986977111286504,3.450267511560891,0.0,0.0,0.0,0.0,123.0
feat_10,76020.0,0.01578531965272297,4.3522848692689635,0.0,0.0,0.0,0.0,1200.0
feat_11,76020.0,526177.3216785056,72536649.81828201,-1.0,0.0,0.0,0.0,9999999999.0
feat_12,76020.0,0.005682715074980268,0.13135013787843197,0.0,0.0,0.0,0.0,6.0
feat_13,76020.0,2.5126783741120757,508.9688306435788,0.0,0.0,0.0,0.0,133730.58
feat_14,76020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feat_15,76020.0,0.14096320902404544,2.6476828584160725,-0.4715584406080433,-0.07075067911371,0.0004936597324735001,0.0721066363376834,60.24577034722267
feat_16,76020.0,3.5591298342541444,93.15574870597062,0.0,0.0,0.0,0.0,8237.82
feat_17,76020.0,0.0029597474348855564,0.07764794893007926,0.0,0.0,0.0,0.0,3.0
feat_18,76020.0,68.20514048934491,531.8979171800793,0.0,0.0,0.0,0.0,45990.0
feat_19,76020.0,0.00011838989739542226,0.018845698393837214,0.0,0.0,0.0,0.0,3.0
feat_20,76020.0,0.9580242041568009,0.20053517747168723,0.0,1.0,1.0,1.0,1.0
feat_21,76020.0,48671402.23569017,695953653.9899181,-1.0,0.0,0.0,0.0,9999999999.0
feat_22,76020.0,1.1848855564325178,3.2633331684280176,0.0,0.0,0.0,0.0,108.0
feat_23,76020.0,6059.125375210702,23081.149576805114,-4051.8810233665904,-208.47127041830487,752.1692241060002,3988.1689397277805,1472884.5664080128
feat_24,76020.0,0.15982636148382004,0.7130222010222598,0.0,0.0,0.0,0.0,18.0
feat_25,76020.0,750.9562730860299,12422.518373492674,0.0,0.0,0.0,0.0,1034482.74
feat_26,76020.0,526177.3216785056,72536649.81828201,-1.0,0.0,0.0,0.0,9999999999.0
feat_27,76020.0,0.007537490134175217,0.3154526889327583,0.0,0.0,0.0,0.0,39.0
feat_28,76020.0,0.00031570639305445933,0.030773884485149956,0.0,0.0,0.0,0.0,3.0
feat_29,76020.0,0.09215995790581426,0.2892535231668989,0.0,0.0,0.0,0.0,1.0
feat_30,76020.0,131544.33019600104,36269040.57361528,-1.0,0.0,0.0,0.0,9999999999.0
feat_31,76020.0,263088.6608524073,51291831.70821646,0.0,0.0,0.0,0.0,9999999999.0
feat_32,76020.0,0.001696921862667719,0.04115901606354451,0.0,0.0,0.0,0.0,1.0
feat_33,76020.0,0.042370428834517235,0.2014341315302552,0.0,0.0,0.0,0.0,1.0
feat_34,76020.0,0.09392265193370165,1.2152178380184746,0.0,0.0,0.0,0.0,81.0
feat_35,76020.0,3.299368587213891,2.868216626890098,0.0,0.0,3.0,3.0,36.0
feat_36,76020.0,48671402.23587235,695953653.9899055,-1.0,0.0,0.0,0.0,9999999999.0
feat_37,76020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feat_38,76020.0,0.00011838989739542226,0.02432988404179626,0.0,0.0,0.0,0.0,6.0
feat_39,76020.0,0.020126282557221785,0.40662386070786416,0.0,0.0,0.0,0.0,36.0
feat_40,76020.0,0.0006314127861089187,0.025120159329598792,0.0,0.0,0.0,0.0,1.0
feat_41,76020.0,5925.120244672456,48008.52934166368,0.0,0.0,0.0,0.0,3008077.32
feat_42,76020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feat_43,76020.0,0.05085503814785583,0.21970306825333327,0.0,0.0,0.0,0.0,1.0
feat_44,76020.0,13257.56395240579,96849.60812804208,-15326.917705811737,-2124.1603369200147,649.0226881430307,3699.1226429199046,6015652.814348496
feat_45,76020.0,7.892659826361483e-05,0.015387549514003687,0.0,0.0,0.0,0.0,3.0
feat_46,76020.0,0.6637595369639568,0.47242539086648844,0.0,0.0,1.0,1.0,1.0
feat_47,76020.0,1329.6597710631045,6908.95220909082,-1174.2274538181491,-68.48057503705222,167.52730950139357,465.2157325752867,708594.5508446769
feat_48,76020.0,0.8807550644567219,0.3240786362300098,0.0,1.0,1.0,1.0,1.0
feat_49,76020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feat_50,76020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feat_51,76020.0,0.2112470402525651,0.8902359673816033,0.0,0.0,0.0,0.0,111.0
feat_52,76020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feat_53,76020.0,40.44907918968693,47.36271915110929,0.0,2.0,3.0,99.0,99.0
feat_54,76020.0,97903.92196617172,507978.6741925965,-95699.70751444364,-12379.32907409088,5253.020299230535,26103.375766236182,28268733.264123328
feat_55,76020.0,2823.9490891870564,25334.468106368324,0.0,0.0,0.0,0.0,840000.0
feat_56,76020.0,556.184177979479,7182.642532490858,0.0,0.0,0.0,0.0,304838.7
feat_57,76020.0,72.00466963125042,102.71606147059313,-15.766329785847878,-0.7459246680615639,4.454438061377418,95.09443550353863,376.3385162754603
feat_58,76020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feat_59,76020.0,0.08087345435411734,0.2726424701976529,0.0,0.0,0.0,0.0,1.0
feat_60,76020.0,3.7871369376479875,811.9760864659999,0.0,0.0,0.0,0.0,209834.4
feat_61,76020.0,0.11377269139700079,0.5736623721672208,0.0,0.0,0.0,0.0,6.0
feat_62,76020.0,0.0015390686661404893,0.10491919047483475,0.0,0.0,0.0,0.0,12.0
feat_63,76020.0,0.023638516179952645,0.15192116487707708,0.0,0.0,0.0,0.0,1.0
feat_64,76020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feat_65,76020.0,110.02657537490136,1935.3057132601184,-1844.52,0.0,0.0,0.0,177582.0
feat_66,76020.0,0.017955801104972375,0.28875654708835224,0.0,0.0,0.0,0.0,30.0
feat_67,76020.0,1.6213891081294396,7.389538587706928,0.0,0.0,0.0,0.0,249.0
feat_68,76020.0,109.21694356748223,13082.157458258944,0.0,0.0,0.0,0.0,3525776.88
feat_69,76020.0,891.3658634569849,9888.596999748397,-8.04,0.0,0.99,12.217500000000001,1542339.36
feat_70,76020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feat_71,76020.0,124.62096172059981,2205.2498036982024,-3401.34,0.0,0.0,0.0,228031.8
