threshold,binary_f1,macro_f1,n_predicted_positive
0.02,0.07612491775067065,0.038062458875335325,76020
0.03,0.07612684432971427,0.03809081417186949,76018
0.04,0.07613744225779916,0.03824674235450725,76007
0.05,0.07618082816259339,0.03888417349008279,75962
0.06,0.07632871081111943,0.04104596364340848,75809
0.07,0.07658426050869466,0.04474233845727033,75546
0.08,0.07693981238562049,0.05047245013673522,75131
0.09,0.07739092338221272,0.05773246091189256,74598
0.1,0.07798451223948859,0.06639115856526617,73956
0.11,0.07881630990394345,0.07783373337676004,73093
0.12,0.07995620301504854,0.09342014223391087,71883
0.13,0.08166944360984403,0.11426972396178975,70214
0.14,0.08427077165975923,0.14165204386543978,67930
0.15,0.08753043325217799,0.17281670843366848,65174
0.16,0.09115150029116989,0.20389621658026336,62246
0.17,0.09500320307495196,0.23216678010890457,59432
0.18,0.098814163140377,0.25737230687939927,56781
0.19,0.10240617986324965,0.27841669356095133,54469
0.2,0.10603323699421965,0.29706916297373376,52352
0.21,0.10930697509295764,0.3127304457584336,50511
0.22,0.11253157478644839,0.3265519751171983,48853
0.23,0.11501268230818008,0.33767094696648664,47456
0.24,0.11744604682383093,0.34784498458885493,46155
0.25,0.1197572319436044,0.35715124717659025,44939
0.26,0.12232324312760723,0.36634230440724347,43737
0.27,0.12451993767419405,0.3749213947384992,42559
0.28,0.1273083947777853,0.3839595153820397,41341
0.29,0.13033186354142492,0.39318796022413144,40082
0.3,0.1336687028386633,0.40288766299283907,38737
0.31,0.13723401620054992,0.4126723134167851,37361
0.32,0.14075749010740532,0.4225737203900652,35910
0.33,0.1446883512257651,0.4325986391973634,34438
0.34,0.1496321890325457,0.4434451323287944,32880
0.35,0.15526899288131638,0.45470219115211497,31268
0.36,0.1611557573155021,0.4660917017291354,29594
0.37,0.16804710754497218,0.47788314496226253,27900
0.38,0.17493686437785816,0.48898222579808026,26294
0.39,0.18256120935951684,0.5004245000402807,24643
0.4,0.18976030680728667,0.5110195572062869,23067
0.41,0.1977251416690448,0.5216966792643833,21521
0.42,0.20686367969494757,0.5324651985112663,20070
0.43,0.21430546594156144,0.5417555471059022,18690
0.44,0.2222656440818719,0.5506284479102517,17463
0.45,0.23050250996222119,0.5592335632008564,16315
0.46,0.2370110275964229,0.5665412053976824,15219
0.47,0.2447004608294931,0.5736718817363978,14352
0.48,0.2491962390051562,0.5789450635474307,13477
0.49,0.2531275798564806,0.5834177736251287,12739
0.5,0.255783212161269,0.5867697011796047,12122
0.51,0.25939875368075055,0.5903540768119986,11595
0.52,0.26203966005665724,0.5932443079865652,11112
0.53,0.2631003571168282,0.5950006083619841,10713
0.54,0.26587777112043137,0.5976005722238059,10344
0.55,0.26765113059529305,0.5995831279783526,9994
0.56,0.26805424156417534,0.6007167502203609,9676
0.57,0.26928335880318505,0.602103912670698,9425
0.58,0.26989220768534516,0.6032312196861749,9145
0.59,0.27145976818410883,0.6047809352288235,8898
0.6,0.2725870049717127,0.6060671072844658,8658
0.61,0.2737928621413576,0.6073746399919351,8424
0.62,0.27317510076130763,0.6077854208331827,8157
0.63,0.2753303964757709,0.6096937648081966,7888
0.64,0.27721280602636533,0.6114673844868073,7612
0.65,0.27921826625387,0.6133219429276463,7328
0.66,0.2827799381792801,0.6160644661356435,7021
0.67,0.2850664742863032,0.6181650124369965,6695
0.68,0.2883770755222282,0.6209132495792004,6327
0.69,0.2912100201297249,0.6234593476516911,5934
0.7,0.2959387875220718,0.6271362055622132,5487
0.71,0.3025084238113066,0.6318515998954053,5005
0.72,0.3036593479707252,0.6337255397525309,4507
0.73,0.30815623205054565,0.6374730262792088,3956
0.74,0.3089430894308943,0.6392975588320603,3388
0.75,0.31043956043956045,0.6414866730358879,2816
0.76,0.3018940118614884,0.6385196323330383,2219
0.77,0.2815533980582524,0.6292222055395605,1730
0.78,0.24620493358633777,0.6123531973917185,1208
0.79,0.20284510010537407,0.5912164034295522,788
0.8,0.15004262574595056,0.5649520297412969,511
0.81,0.09781287970838397,0.5389231123472675,284
0.82,0.059587955625990494,0.5198299115873849,147
0.83,0.026727509778357236,0.5033417373288317,60
0.84,0.013188262446422684,0.49655097888808614,25
0.85,0.003978779840848806,0.49191047645682123,8
0.86,0.0006646726487205051,0.4902438312482352,1
0.87,0.0,0.48990820763326,0
0.88,0.0,0.48990820763326,0
0.89,0.0,0.48990820763326,0
0.9,0.0,0.48990820763326,0
0.91,0.0,0.48990820763326,0
0.92,0.0,0.48990820763326,0
0.93,0.0,0.48990820763326,0
0.94,0.0,0.48990820763326,0
0.95,0.0,0.48990820763326,0
0.96,0.0,0.48990820763326,0
0.97,0.0,0.48990820763326,0
0.98,0.0,0.48990820763326,0
