Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16695722,Disqualified,"2026-08-13 10:20:46",0.303448275862,49,"adnanzamanniloy,tahsinarafat"
2,16695674,"Team Fall_Machine","2026-08-13 11:38:10",0.301924025653,40,"gmnoorlabib,utshob37"
3,16695711,GUB_ALU,"2026-08-13 10:10:31",0.301764159702,28,"kayees,samim101"
4,16697600,"Team Mahalabia","2026-08-13 07:58:34",0.301107754279,44,"habiburrahman153,mitahi1810"
5,16702945,"Nvidia A6000","2026-08-13 11:58:43",0.300634455832,25,shakhoyatshujon
6,16695677,"Hollow Vale","2026-08-11 20:15:27",0.299700299700,25,"khfaysalahammed,tanviranjumapurbo"
7,16695642,SUST_HIRE,"2026-08-13 07:37:02",0.299120234604,47,"mdrehanulbary,mollahhamza"
8,16695849,"Blindly AI Mari","2026-08-13 08:17:17",0.298739088263,39,isfakiqbalchowdhuruy
9,16697167,Scrat_Squad,"2026-08-13 11:56:49",0.298372513562,35,"adibatah,rocksta"
10,16696481,"Team Null Hypothesis","2026-08-13 11:06:22",0.297249334516,25,"arkaariya,mdjahidhasanjim"
11,16695681,CUET_AL_Masaar,"2026-08-12 13:44:06",0.296010296010,24,rafiurrahman01
12,16696412,IUT_Mrittu_Machines,"2026-08-13 11:15:44",0.295578947368,39,"abrarmahmudhasan,tahsanferdous"
13,16695645,"ahsan kabir00","2026-08-10 10:47:16",0.293631100082,7,ahsankabir00
14,16697252,RAG_Korla,"2026-08-13 11:28:17",0.293140178951,38,"shimulbaidya001,ziadmdtahzeeb"
15,16695701,Pandas,"2026-08-13 10:12:27",0.291401948326,36,"alveeahnaf,antubiswas12"
16,16696962,DataDriven,"2026-08-13 11:58:46",0.287542662116,42,"gschatten,ibtida01"
17,16695741,Here_for_t_shirt,"2026-08-13 11:05:10",0.287098194627,25,"hasib2005,johirulislamzim"
18,16695983,"শ্বশুরবাড়ি আদাবর","2026-08-13 11:01:58",0.287024300779,32,"didhitinahid,farhanishraqq"
19,16696409,rOm_RoM_bHaIyO,"2026-08-13 11:47:50",0.283404255319,41,"alfardin09,arijitpaul07"
20,16695715,Systum_Phar_Denge,"2026-08-13 11:49:23",0.269131556319,29,"jamiussiddiqui,shahahnafulislam"
21,16696451,TensorX,"2026-08-13 10:33:48",0.259818731117,26,"arafatrahman219,tukotanzwoo"
22,16697377,AlgoVerse,"2026-08-12 04:19:36",0.259023354564,19,msharafatkarim
23,16695657,SEU_FeatureForce,"2026-08-13 06:50:12",0.254484772632,30,"khan12052025,suyaibalsifat"
24,16695710,Sleep_not_found,"2026-08-13 02:18:38",0.248275862068,39,"mohammadyaksafu,munnyrahman"
25,16697629,Whoaah!!!!,"2026-08-09 21:59:13",0.244514106583,5,cutieepookieurzaaa
26,16695649,Backprop_Sust,"2026-08-13 11:59:22",0.244208873184,41,arif124713
27,16696153,KUETRON,"2026-08-13 11:10:47",0.242209072978,24,"mrrakib0886,tasnimulhassanrahat"
0,16705467,sample_submission.csv,"2026-08-09 09:42:29",0.238584474885,1,
28,16707186,"Miftahul Adib","2026-08-13 11:30:40",0.237982663514,13,miftahuladib
29,16697691,PANDAS_22,"2026-08-13 11:07:45",0.235832856325,11,"ratulrahul,rejoneahmed"
30,16695805,pstu_below_average,"2026-08-13 11:53:51",0.233807266982,47,"jubayerisfar,tanzimnehal"
31,16697187,Team02w,"2026-08-12 23:01:47",0.233250620347,23,mohammedsakibhasan3
32,16697541,DUO_LEVELING,"2026-08-13 09:16:39",0.227966365618,40,"ahmedsajidhasan,nawrizturjo"
33,16702091,"S.M.Sakibul Hasan Sakib","2026-08-13 06:03:36",0.227093065037,25,smsakibulhasansakib
34,16695829,DataCrafter,"2026-08-13 03:34:43",0.226530612244,28,"arifulislammasum,imamulkabiranan"
35,16696896,AuraX,"2026-08-13 08:31:55",0.223410576351,31,zeeshanuxai
36,16695851,morpheus_GUB,"2026-08-13 11:50:12",0.223270440251,16,"emon3469,jarif2001"
37,16707856,"Md. Imran Faraj","2026-08-13 07:21:44",0.223055295220,30,"abrarxawad,farajimran"
38,16696508,LossLess,"2026-08-13 09:55:50",0.220497898480,45,nazmulh0
39,16695748,Term_Final_Cole,"2026-08-13 11:05:56",0.219400711020,29,"nafisahammad,nurulabsarshadik"
40,16711241,Byte_Pair,"2026-08-13 11:54:40",0.217130387343,11,"amaduddinosama,wazihajannatramisa"
41,16697633,cf__,"2026-08-13 10:54:41",0.217037037037,34,"hridoychandrasarker,noushad970"
42,16696308,ANTS,"2026-08-12 14:01:53",0.216715976331,25,"abdurrahman007,dreamshop"
43,16696090,SynapseSync,"2026-08-13 10:37:50",0.216150576806,39,"arpitadasarpi,shakharmondol"
44,16696241,PUST_Optimizers_III_Nasr,"2026-08-13 06:17:48",0.215347285410,36,adittoahosankabbo
45,16695797,Data_Not_Found,"2026-08-12 11:57:06",0.215210893390,31,"nayeemulislam909,yaseenarafathridit"
46,16696131,SUST_Nabajatra,"2026-08-12 00:09:49",0.215194224819,33,"sayemali,shuvocs23"
47,16695670,dia_de_kisu_ekta,"2026-08-13 01:41:27",0.214559386973,25,"hollowf4d9,potatoedraf"
48,16696801,kuchupuchu,"2026-08-12 18:16:01",0.214511041009,6,"faijul,farzz17"
49,16695644,Huntrix,"2026-08-11 06:06:43",0.213828425096,30,seyamalam
50,16696834,GUB_404_Brain_Not_Found,"2026-08-13 11:58:08",0.213769254951,38,"iftikharhasan,nadia53"
51,16695708,PSTU_Pokemon_Trainers,"2026-08-13 08:43:37",0.212992545260,30,"arifz04,tanvirishrak"
52,16695743,ENiGMA,"2026-08-13 11:22:36",0.212765957446,36,"shormighosh,tawhidulhasan401"
53,16696532,Optima,"2026-08-12 04:33:58",0.212210251387,34,fksifat
54,16695703,Tahsan_078,"2026-08-12 09:22:11",0.211952191235,19,"sadit12,tahsan078"
55,16711874,SOBEDAR_ALI,"2026-08-13 10:45:10",0.211167512690,9,tamim2276
