feature,importance
feat_182,626.8000000000001
feat_175,546.4
feat_116,270.59999999999997
feat_97,234.8
feat_306,224.2
feat_44,219.20000000000002
feat_250,167.6
feat_72,153.6
feat_190,143.0
feat_296,141.0
feat_253,140.79999999999998
feat_187,136.8
feat_334,135.4
feat_169,135.4
feat_15,87.6
feat_313,85.60000000000001
feat_142,77.0
feat_219,75.2
feat_325,71.4
feat_221,70.4
feat_117,69.2
feat_47,67.8
feat_92,66.6
feat_54,65.0
feat_350,64.2
feat_298,61.599999999999994
feat_186,60.8
feat_80,59.800000000000004
feat_312,59.800000000000004
feat_215,58.599999999999994
feat_328,58.0
feat_57,56.599999999999994
feat_159,56.2
feat_305,56.199999999999996
feat_181,55.99999999999999
feat_23,55.8
feat_193,55.4
feat_105,55.2
feat_242,55.2
feat_151,54.800000000000004
feat_5,53.0
feat_157,52.400000000000006
feat_7,52.4
feat_180,52.0
feat_183,51.800000000000004
feat_227,51.4
feat_191,51.4
feat_261,49.39999999999999
feat_69,49.2
feat_119,46.2
feat_280,45.8
feat_132,41.400000000000006
feat_320,39.8
feat_73,38.99999999999999
feat_130,37.4
feat_337,23.799999999999997
feat_299,19.0
feat_318,17.0
feat_147,12.600000000000001
feat_136,11.400000000000002
feat_122,10.2
feat_268,10.0
feat_103,10.0
feat_146,9.8
feat_217,8.8
feat_71,8.4
feat_143,8.0
feat_85,7.6
feat_109,7.4
feat_22,7.0
feat_285,6.6000000000000005
feat_275,6.3999999999999995
feat_67,6.0
feat_198,6.0
feat_244,5.6
feat_53,5.4
feat_243,5.0
feat_18,5.0
feat_115,5.0
feat_9,4.8
feat_331,4.6
feat_346,4.6
feat_229,4.6
feat_288,4.6
feat_129,4.3999999999999995
feat_155,4.2
feat_332,4.2
feat_65,3.8000000000000003
feat_245,3.8
feat_56,3.4000000000000004
feat_108,3.2
feat_162,3.0
feat_203,3.0
feat_111,3.0
feat_137,2.9999999999999996
feat_211,2.8
feat_339,2.8
feat_41,2.8
feat_55,2.6
feat_265,2.6
feat_150,2.6
feat_344,2.2
feat_197,2.1999999999999997
feat_164,2.0
feat_46,1.8
feat_95,1.8
feat_223,1.6
feat_333,1.6
feat_125,1.6
feat_293,1.6
feat_134,1.5999999999999999
feat_35,1.4000000000000001
feat_192,1.4000000000000001
