threshold,f1,n_pred_pos
0.01,0.10780592689539123,50477
0.02,0.14499121265377857,33408
0.03,0.1767462293161517,24308
0.04,0.20290922482047505,18716
0.05,0.2243198223209328,15002
0.06,0.24110517398670664,12338
0.07,0.25651751699409875,10379
0.08,0.26997712058300144,8793
0.09,0.2792410082129708,7585
0.1,0.2852687389541532,6611
0.11,0.29208371246587805,5784
0.12,0.29105671054250215,5121
0.13,0.28847938486013525,4535
0.14,0.2904869762174405,4056
0.15,0.290947305209428,3653
0.16,0.28986881618460564,3319
0.17,0.28509575353871774,2997
0.18,0.28342059336823733,2722
0.19,0.27959743824336686,2457
0.2,0.2703936109526526,2251
0.21,0.2646420824295011,2063
0.22,0.2618657937806874,1880
0.23,0.25675675675675674,1728
0.24,0.25,1576
0.25,0.2430617726051925,1460
0.26,0.2350772067296612,1331
0.27,0.22853087295954577,1219
0.28,0.22367782629791363,1114
0.29,0.21550656428040624,1029
0.3,0.20787083753784055,956
0.31,0.19602785659014701,869
0.32,0.18869908015768724,797
0.33,0.18196371398078975,740
0.34,0.17554347826086958,672
0.35,0.17006053935057788,626
0.36,0.15942028985507245,580
0.37,0.152327221438646,537
0.38,0.14192077514961526,501
0.39,0.1336405529953917,464
0.4,0.12833914053426249,436
0.41,0.11477339611536198,390
0.42,0.1058893515764426,354
0.43,0.09843937575030012,324
0.44,0.09486404833836858,302
0.45,0.08844159804818542,271
0.46,0.0844811753902663,259
0.47,0.08,242
0.48,0.07673267326732673,224
0.49,0.07042692427547523,201
0.5,0.06572769953051644,187
