threshold,f1,n_pred_pos
0.01,0.1082360010515642,50246
0.02,0.1449793672627235,33342
0.03,0.17599883347914844,24424
0.04,0.20251537684751675,18778
0.05,0.22377389858686617,15037
0.06,0.2411282984531392,12378
0.07,0.2564755202874682,10350
0.08,0.26783458266655435,8865
0.09,0.2774381642057745,7625
0.1,0.2839659821613773,6634
0.11,0.2919741173799523,5801
0.12,0.2915487759872063,5121
0.13,0.29002781088597535,4543
0.14,0.29331436699857755,4022
0.15,0.29116586538461536,3648
0.16,0.28657569025706126,3294
0.17,0.28376125375125044,2990
0.18,0.280014000700035,2706
0.19,0.2751051765136272,2459
0.2,0.270487106017192,2227
0.21,0.2654516640253566,2040
0.22,0.26120777891504604,1877
0.23,0.2528006763897696,1723
0.24,0.24531590413943355,1582
0.25,0.23895401262398558,1428
0.26,0.23119777158774374,1300
0.27,0.22089694656488548,1184
0.28,0.21584832280019445,1106
0.29,0.21021170610211706,1007
0.3,0.1990811638591118,910
0.31,0.18888599008609444,825
0.32,0.18172157279489903,756
0.33,0.17597840755735492,697
0.34,0.1686746987951807,644
0.35,0.1611558766323979,591
0.36,0.15016872890888638,548
0.37,0.13926940639269406,496
0.38,0.13271783035199078,458
0.39,0.11929824561403508,412
0.4,0.11268436578171091,382
0.41,0.1037567084078712,346
0.42,0.09572546658639373,314
0.43,0.08867294260552687,285
0.44,0.08437786609599511,263
0.45,0.07997539218701938,243
0.46,0.07428040854224698,223
0.47,0.07036114570361146,204
0.48,0.06572769953051644,187
0.49,0.06169342146679257,169
0.5,0.055098163394553513,150
