,count,mean,std,min,25%,50%,75%,max
base_number_of_dependent_farmers,48128.0,-1368.6543592087767,37006.69772571745,-999999.0,2.0,2.0,2.0,238.0
base_station_installation_age_years,48128.0,28.251142785904257,12.936763454368089,0.0,18.0,23.0,35.0,100.0
cost_total_energy_consumed_bdt,48128.0,5.746988355127069,87.12094636024226,0.0,0.0,0.0,0.0,9577.777777777776
cost_commercial_maintenance_bdt,48128.0,56.227432246074244,265.1131583986638,0.0,0.0,0.0,0.0,10000.0
cost_commercial_maintenance_3m_bdt,48128.0,74.24325933563702,341.51201877768824,0.0,0.0,0.0,0.0,10000.0
cost_commercial_repair_bdt,48128.0,4.361482503365898,114.22083019605763,0.0,0.0,0.0,0.0,10000.0
cost_commercial_repair_3m_bdt,48128.0,6.15186525526643,148.5504090740026,0.0,0.0,0.0,0.0,10000.0
cost_effective_repair_bdt,48128.0,0.6907772455270794,53.80800087777356,0.0,0.0,0.0,0.0,10000.0
cost_effective_repair_3m_bdt,48128.0,0.8843897334381046,59.27981595357014,0.0,0.0,0.0,0.0,10000.0
cost_total_repair_bdt,48128.0,4.046447916374489,122.2601414965333,0.0,0.0,0.0,0.0,10000.0
cost_commercial_parts_bdt,48128.0,53.439643282526085,249.26083995965337,0.0,0.0,0.0,0.0,10000.0
cost_commercial_parts_3m_bdt,48128.0,70.28431590702519,320.7660152514833,0.0,0.0,0.0,0.0,10000.0
cost_effective_parts_bdt,48128.0,14.861783016543836,116.66608812605709,0.0,0.0,0.0,0.0,10000.0
cost_effective_parts_3m_bdt,48128.0,11.591139368517855,90.5408069761677,0.0,0.0,0.0,0.0,10000.0
cost_total_parts_bdt,48128.0,28.999683128251018,148.1442740017267,0.0,0.0,0.0,0.0,10000.0
cost_effective_maintenance_bdt,48128.0,14.960916085047396,117.63991640395662,0.0,0.0,0.0,0.0,10000.0
cost_effective_maintenance_3m_bdt,48128.0,11.651395095168946,90.94925128151715,0.0,0.0,0.0,0.0,10000.0
cost_total_maintenance_bdt,48128.0,29.700003447290463,151.82005796639328,0.0,0.0,0.0,0.0,10000.0
cost_subsidy_received_bdt,48128.0,0.799254854463746,54.60138950860181,0.0,0.0,0.0,0.0,10000.0
has_historical_grid_failure_record,48128.0,0.011240857712765957,0.10542642824129234,0.0,0.0,0.0,0.0,1.0
has_active_grid_connection,48128.0,0.00390625,0.06237845829565675,0.0,0.0,0.0,0.0,1.0
lacks_primary_solar_inverter,48128.0,0.041929853723404256,0.20043097513340202,0.0,0.0,0.0,0.0,1.0
has_primary_solar_inverter,48128.0,0.6617769281914894,0.4731097930583986,0.0,0.0,1.0,1.0,1.0
is_not_in_cyclone_prone_zone,48128.0,0.9998753324468085,0.011164882500801014,0.0,1.0,1.0,1.0,1.0
lacks_battery_backup_system,48128.0,0.9669215425531915,0.17884333278151987,0.0,1.0,1.0,1.0,1.0
has_battery_backup_system,48128.0,0.028548869680851064,0.16653650646107782,0.0,0.0,0.0,0.0,1.0
is_salinity_sensor_inactive,48128.0,0.9329080784574468,0.250183724762499,0.0,1.0,1.0,1.0,1.0
is_salinity_sensor_active,48128.0,0.04521276595744681,0.20777263709143784,0.0,0.0,0.0,0.0,1.0
lacks_short_term_maintenance_contract,48128.0,0.9481590757978723,0.22170806053860942,0.0,1.0,1.0,1.0,1.0
